        TIME,    TIDE,      OB,   SURGE,    BIAS,     TWL,SURGE90p,  TWL90p,SURGE10p,   TWL10p
202603191200,   4.368,   4.759,   0.200,   0.191,   4.759,   0.200,   4.759,   0.200,   4.759
202603191206,   4.388,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603191212,   4.402,   4.769,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603191218,   4.411,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603191224,   4.414,   4.749,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603191230,   4.410,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603191236,   4.401,   4.749,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603191242,   4.386,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603191248,   4.365,   4.769,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603191254,   4.337,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603191300,   4.304,9999.000,   0.200,9999.000,   4.504,   0.200,   4.504,   0.200,   4.504
202603191306,   4.264,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603191312,   4.218,   4.637,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603191318,   4.167,   4.690,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603191324,   4.109,   4.569,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603191330,   4.046,   4.480,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603191336,   3.976,   4.480,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603191342,   3.902,   4.388,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603191348,   3.822,   4.227,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603191354,   3.736,   4.267,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603191400,   3.646,   4.129,   0.300,   0.183,   4.129,   0.200,   4.029,   0.300,   4.129
202603191406,   3.551,   4.090,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603191412,   3.451,   3.958,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603191418,   3.348,   3.719,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603191424,   3.240,   3.627,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603191430,   3.128,   3.470,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603191436,   3.014,   3.309,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603191442,   2.896,   3.240,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603191448,   2.776,   3.099,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603191454,   2.653,   2.938,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603191500,   2.529,   2.869,   0.300,   0.040,   2.869,   0.300,   2.869,   0.300,   2.869
202603191506,   2.403,   2.748,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603191512,   2.275,   2.650,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603191518,   2.147,   2.459,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603191524,   2.019,   2.318,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603191530,   1.890,   2.210,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603191536,   1.761,   2.059,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603191542,   1.633,   1.918,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603191548,   1.506,   1.820,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603191554,   1.380,   1.649,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603191600,   1.256,   1.518,   0.300,  -0.038,   1.518,   0.200,   1.418,   0.300,   1.518
202603191606,   1.134,   1.498,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603191612,   1.013,   1.439,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603191618,   0.895,   1.279,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603191624,   0.780,   1.088,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603191630,   0.668,   1.020,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603191636,   0.559,   0.879,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603191642,   0.454,   0.659,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603191648,   0.353,   0.551,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603191654,   0.255,   0.469,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603191700,   0.162,   0.409,   0.300,  -0.053,   0.409,   0.300,   0.409,   0.300,   0.409
